Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.7080, 38.4380, 14.7000,2012-08-12T22:01:15.900000Z,  2.4000, -3.6669, 20.8694, 14.7000
 46.8030, 38.4290, 16.5000,2012-08-12T22:05:43.000000Z,  2.2000,  4.6279, 19.8709, 16.5000
 46.7290, 38.4280, 15.8000,2012-08-12T22:45:49.200000Z,  1.9000, -1.8337, 19.7587, 15.8000
 46.9010, 38.4860, 19.6000,2012-08-12T22:57:07.600000Z,  2.8000, 13.1748, 26.2076, 19.6000
 46.8460, 38.3880, 19.9000,2012-08-12T23:02:03.900000Z,  2.7000,  8.3873, 15.3227, 19.9000
 46.6820, 38.3920, 11.2000,2012-08-12T23:16:13.100000Z,  1.8000, -5.9407, 15.7646, 11.2000
 46.8960, 38.4590, 16.4000,2012-08-12T23:58:41.500000Z,  1.9000, 12.7432, 23.2098, 16.4000
 46.6760, 38.4110, 18.8000,2012-08-13T00:07:53.900000Z,  2.4000, -6.4632, 17.8740, 18.8000
 46.8970, 38.4500,  9.7000,2012-08-13T00:18:02.600000Z,  3.2000, 12.8321, 22.2109,  9.7000
 46.6940, 38.4190, 20.0000,2012-08-13T00:22:08.400000Z,  3.2000, -4.8905, 18.7610, 20.0000
 46.8010, 38.4500, 19.9000,2012-08-13T01:02:22.500000Z,  1.5000,  4.4520, 22.2019, 19.9000
 46.7910, 38.4800,  4.5000,2012-08-13T01:29:26.600000Z,  2.4000,  3.5775, 25.5316,  4.5000
 46.8440, 38.4520, 16.9000,2012-08-13T01:38:46.800000Z,  1.5000,  8.2053, 22.4268, 16.9000
 46.6940, 38.4370, 17.5000,2012-08-13T01:56:10.000000Z,  4.7000, -4.8893, 20.7591, 17.5000
 46.8760, 38.4740,  4.2000,2012-08-13T03:58:28.900000Z,  2.9000, 10.9953, 24.8723,  4.2000
 46.6830, 38.3970, 19.8000,2012-08-13T04:15:52.400000Z,  3.7000, -5.8529, 16.3195, 19.8000
 46.6670, 38.3940, 19.8000,2012-08-13T05:22:28.800000Z,  2.6000, -7.2509, 15.9876, 19.8000
 46.6740, 38.4520, 17.2000,2012-08-13T06:58:22.000000Z,  3.2000, -6.6341, 22.4254, 17.2000
 46.7930, 38.3930, 17.0000,2012-08-13T07:28:30.500000Z,  3.2000,  3.7566, 15.8742, 17.0000
 46.6610, 38.4180,  4.9000,2012-08-13T07:50:54.300000Z,  2.2000, -7.7725, 18.6522,  4.9000
 46.8890, 38.4380,  4.3000,2012-08-13T08:16:50.100000Z,  4.0000, 12.1358, 20.8777,  4.3000
 46.6900, 38.4430, 10.0000,2012-08-13T10:28:13.700000Z,  1.9000, -5.2381, 21.4253, 10.0000
