code,lat,lon,elv,x,y,z,r,S_P_Error,probabilityOfOccurrence,siteNoiseLevel,eid,Dist,Azim,TTP,TTS
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",327,  0.4506,241.8261,nan, 15.5471
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",327,  0.0560, 11.3109,nan,  5.9096
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",327,  2.5670,274.2738,nan, 74.2406
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",328,  1.7175, 85.0176, 31.9109,nan
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",328,  0.9004,213.5125, 17.2025,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",328,  0.7620,163.1013, 14.6570,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",328,  2.2248,354.3425, 39.3791,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",328,  1.0747, 69.0814, 20.0454,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",328,  0.3581,108.2463,  7.1060,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",328,  1.3742, 80.5939, 25.6170,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",328,  1.7655,302.1343, 32.6134,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",328,  0.7660,291.8669, 14.3532,nan
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",328,  1.1451,310.7656, 21.2218,nan
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",328,  0.6924,316.0190, 12.9216,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",328,  2.0080, 44.0629, 36.7140,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",328,  0.7936,259.5683, 15.0147,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",328,  1.0283,125.7496, 19.4611,nan
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",328,  0.3515, 80.2063,  6.8304,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",328,  0.4116,241.7319,  8.1221,nan
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",328,  0.0860, 31.9729,  1.9518,nan
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",328,  2.5340,274.7098, 43.8712,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",328,  2.0260, 23.9453, 36.7968,nan
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",328,  1.7175, 85.0176,nan, 55.8440
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",328,  0.9004,213.5125,nan, 30.1043
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",328,  1.8833, 13.3784,nan, 60.3233
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",328,  1.6120, 59.2626,nan, 52.2206
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",328,  1.0747, 69.0814,nan, 35.0794
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",328,  0.3581,108.2463,nan, 12.4354
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",328,  1.7242, 80.0198,nan, 56.0430
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",328,  0.7660,291.8669,nan, 25.1180
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",328,  1.1451,310.7656,nan, 37.1381
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",328,  1.2699,319.8050,nan, 41.1628
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",328,  0.7936,259.5683,nan, 26.2756
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",328,  0.4116,241.7319,nan, 14.2137
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",328,  0.0860, 31.9729,nan,  3.4157
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",328,  2.0260, 23.9453,nan, 64.2151
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",329,  0.9210,215.1062, 17.3964,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",329,  0.7562,165.5299, 14.6368,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",329,  2.2252,353.5351, 39.4328,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",329,  1.0436, 68.6293, 19.8046,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",329,  0.3287,110.5287,  6.7752,nan
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",329,  1.6919, 79.9564, 31.7670,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",329,  1.3419, 80.5211, 25.3582,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",329,  1.7913,301.5303, 32.9377,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",329,  0.7949,290.8263, 14.7676,nan
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",329,  1.1678,309.6472, 21.5016,nan
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",329,  0.7131,314.0134, 13.1564,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",329,  1.9835, 43.4801, 36.4301,nan
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",329,  1.2887,318.6500, 23.7146,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",329,  0.8259,259.7935, 15.4106,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",329,  1.0041,126.9885, 19.1641,nan
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",329,  0.3192, 79.7794,  6.5541,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",329,  0.4416,243.3943,  8.4489,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",329,  2.3924,136.8234, 42.3535,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",329,  2.0104, 23.1666, 36.5988,nan
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",329,  1.6852, 85.0497,nan, 55.3662
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",329,  1.8731, 12.4666,nan, 60.0924
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",329,  1.5828, 58.7855,nan, 51.7920
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",329,  1.0436, 68.6293,nan, 34.6580
HSH, 37.3050, 47.2640,  0.0020, 45.5720,-104.7650,  0.0020,114.2470,1.0,1.0,"[0.0, 0.0]",329,  1.2281,156.5234,nan, 40.7905
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",329,  1.6919, 79.9564,nan, 55.5923
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",329,  1.3419, 80.5211,nan, 44.3768
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",329,  1.7913,301.5303,nan, 57.6411
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",329,  0.7949,290.8263,nan, 25.8433
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",329,  1.2887,318.6500,nan, 41.5005
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",329,  1.0041,126.9885,nan, 33.5372
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",329,  0.0712, 10.8041,nan,  2.8161
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",329,  2.3924,136.8234,nan, 73.8151
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",329,  2.0104, 23.1666,nan, 63.8771
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",330,  1.6174, 84.7550, 30.2346,nan
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",330,  0.9589,218.6412, 18.2388,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",330,  1.8635, 10.4418, 34.1627,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",330,  0.7381,170.6533, 14.1905,nan
FTB, 38.0170, 46.3940,  0.0020,-31.2610,-25.8030,  0.0020, 40.5350,1.0,1.0,"[0.0, 0.0]",330,  0.4938,213.4144,  9.7595,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",330,  2.2378,351.8616, 39.6359,nan
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",330,  1.5269, 57.3828, 28.7423,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",330,  0.9818, 67.0137, 18.7630,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",330,  0.2640,114.9852,  5.4545,nan
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",330,  1.6253, 79.4526, 30.4692,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",330,  1.2752, 79.8936, 24.0366,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",330,  1.8519,300.5829, 34.0964,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",330,  0.8605,289.5083, 16.0830,nan
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",330,  1.2237,307.8012, 22.6411,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",330,  1.9401, 41.9887, 35.8707,nan
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",330,  1.3378,316.6176, 24.7293,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",330,  0.9479,129.3385, 18.0332,nan
TABZ, 38.0570, 46.3270,  0.0010,-37.1240,-21.3380,  0.0010, 42.8200,1.0,1.0,"[0.0, 0.0]",330,  0.4938,221.1179,  9.7089,nan
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",330,  0.2531, 76.2014,  5.3235,nan
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",330,  1.6174, 84.7550,nan, 52.9106
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",330,  0.9589,218.6412,nan, 31.9178
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",330,  1.8635, 10.4418,nan, 59.7781
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",330,  1.5269, 57.3828,nan, 50.2990
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",330,  2.3149,318.5711,nan, 71.1607
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",330,  1.6253, 79.4526,nan, 53.3211
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",330,  1.8519,300.5829,nan, 59.6684
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",330,  0.8605,289.5083,nan, 28.1452
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",330,  1.2237,307.8012,nan, 39.6220
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",330,  0.7663,310.7265,nan, 24.9351
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",330,  1.3378,316.6176,nan, 43.2762
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",330,  0.9479,129.3385,nan, 31.5580
TABZ, 38.0570, 46.3270,  0.0010,-37.1240,-21.3380,  0.0010, 42.8200,1.0,1.0,"[0.0, 0.0]",330,  0.4938,221.1179,nan, 16.9906
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",330,  0.0922,323.3834,nan,  3.5238
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",331,  0.9347,214.6980, 17.4037,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",331,  1.8580, 12.4972, 33.3101,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",331,  0.7701,165.9802, 14.7616,nan
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",331,  2.2573,319.4552, 38.6597,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",331,  1.0360, 69.3555, 19.6950,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",331,  0.3321,113.0960,  7.2777,nan
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",331,  1.6870, 80.4454, 30.7387,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",331,  1.3372, 81.1397, 24.7814,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",331,  1.7855,301.0828, 32.0698,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",331,  0.7919,289.7540, 15.1297,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",331,  1.9711, 43.7320, 34.9931,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",331,  0.8310,258.8071, 15.7429,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",331,  1.0113,127.7489, 19.1054,nan
TABZ, 38.0570, 46.3270,  0.0010,-37.1240,-21.3380,  0.0010, 42.8200,1.0,1.0,"[0.0, 0.0]",331,  0.4688,213.4380,  9.1840,nan
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",331,  0.3146, 82.3928,  6.9058,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",331,  0.4506,241.8261,  8.8841,nan
TVRZ, 38.5040, 46.6680,  0.0020, -7.1530, 28.1980,  0.0020, 29.0910,1.0,1.0,"[0.0, 0.0]",331,  0.0560, 11.3109,  3.3769,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",331,  2.4017,137.1108, 40.7381,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",331,  1.9957, 23.2755, 35.2216,nan
FTB, 38.0170, 46.3940,  0.0020,-31.2610,-25.8030,  0.0020, 40.5350,1.0,1.0,"[0.0, 0.0]",331,  0.4778,205.4752,nan, 16.3871
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",331,  2.2106,353.4325,nan, 66.4896
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",331,  2.2573,319.4552,nan, 67.3602
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",331,  0.3321,113.0960,nan, 12.7359
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",331,  1.6870, 80.4454,nan, 53.7728
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",331,  1.3372, 81.1397,nan, 43.3675
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",331,  1.7855,301.0828,nan, 56.0198
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",331,  0.7919,289.7540,nan, 26.4770
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",331,  0.7045,313.0054,nan, 24.0220
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",331,  1.0113,127.7489,nan, 33.4345
TABZ, 38.0570, 46.3270,  0.0010,-37.1240,-21.3380,  0.0010, 42.8200,1.0,1.0,"[0.0, 0.0]",331,  0.4688,213.4380,nan, 16.0721
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",331,  0.4506,241.8261,nan, 15.5471
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",331,  2.5670,274.2738,nan, 74.2406
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",331,  1.9957, 23.2755,nan, 61.4154
AZR, 37.6780, 45.9840,  0.0020,-67.5740,-63.2120,  0.0020, 92.5310,1.0,1.0,"[0.0, 0.0]",332,  1.0076,218.8552, 19.0905,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",332,  1.8223,  9.6530, 33.1657,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",332,  0.7692,173.5408, 14.5128,nan
FTB, 38.0170, 46.3940,  0.0020,-31.2610,-25.8030,  0.0020, 40.5350,1.0,1.0,"[0.0, 0.0]",332,  0.5420,214.2574, 10.5513,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",332,  2.2072,350.9081, 38.7778,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",332,  0.2536,125.5874,  5.0354,nan
HSH, 37.3050, 47.2640,  0.0020, 45.5720,-104.7650,  0.0020,114.2470,1.0,1.0,"[0.0, 0.0]",332,  1.2217,161.5674, 22.7600,nan
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",332,  1.5866, 80.5378, 29.1104,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",332,  1.8626,299.1402, 34.2490,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",332,  0.8807,286.6102, 16.8681,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",332,  1.8912, 42.0011, 34.3449,nan
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",332,  1.3352,314.5541, 25.1343,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",332,  0.9314,259.0383, 17.7613,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",332,  0.9464,132.3166, 17.6157,nan
TABZ, 38.0570, 46.3270,  0.0010,-37.1240,-21.3380,  0.0010, 42.8200,1.0,1.0,"[0.0, 0.0]",332,  0.5426,221.2704, 10.5954,nan
TAHR, 38.4900, 47.0510,  0.0010, 26.2610, 26.6840,  0.0010, 37.4390,1.0,1.0,"[0.0, 0.0]",332,  0.2142, 83.4878,  4.2042,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",332,  0.5468,245.2281, 10.7626,nan
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",332,  2.6646,273.8282, 45.1637,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",332,  1.9427, 20.8711, 35.0578,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",332,  2.2072,350.9081,nan, 67.6075
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",332,  1.4798, 57.8935,nan, 47.9031
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",332,  0.9376, 68.2765,nan, 30.6052
HSH, 37.3050, 47.2640,  0.0020, 45.5720,-104.7650,  0.0020,114.2470,1.0,1.0,"[0.0, 0.0]",332,  1.2217,161.5674,nan, 39.8301
