 DATE    ORIGIN    LAT N    LONG E    DEPTH    MAG NO GAP DMIN  RMS  ERH  ERZ QM
 10203 -159 59.93 33-51.06  52-37.01  21.15        25 137 40.1 0.14  0.3  0.5 B1
 10203  4 8 30.04 33-49.39  52-37.35  22.17        25 140 42.4 0.12  0.3  0.6 B1
 10203  4 9 39.92 33-50.80  52-34.83  20.11        27 137 42.5 0.15  0.3  0.5 B1
 10203  410 49.92 33-51.85  52-36.72  21.52        29 135 39.2 0.17  0.4  0.5 C1
 10203  412  0.36 33-29.00  52-16.90  17.45        26 194 48.4 0.25  0.9  1.0 C1
 10203  413  9.47 33-47.19  53- 0.01  33.60        26 141 42.0 0.20  0.5  0.9 C1
 10203  414 19.98 34- 0.84  52-23.93  13.83        26 114 42.7 0.12  0.3  0.5 B1
 10203  415 29.72 33-50.33  52-47.13  26.70        26 138 35.1 0.18  0.4  0.7 C1
 10203  416 40.05 33-46.03  52-41.66  26.50        24 169 45.1 0.13  0.3  0.6 B1
 10203  417 49.98 33-35.65  52-33.88  21.46        24 172 63.3 0.18  0.6  0.9 C1
 10203  418 59.95 33-50.21  52-36.84  21.33        28 139 41.6 0.15  0.3  0.5 C1
 10203  420  9.90 33-47.56  52-43.75  26.88        27 144 41.4 0.12  0.3  0.6 B1
 10203  421 19.75 34- 1.39  52-39.88  21.06        25 132 23.1 0.20  0.5  0.5 B1
 10203  422 30.38 33-30.48  52-26.06  21.09        26 186 61.5 0.32  1.1  1.5 D1
 10203  423 39.71 33-50.43  52-46.61  27.09        25 138 35.1 0.16  0.4  0.6 C1
 10203  424 49.93 33-23.88  52-31.00  17.64        25 200 72.1 0.29  1.1  1.4 C1
 10203  426  0.00 33-44.14  52-42.00  26.26        25 151 48.2 0.12  0.3  0.6 B1
 10203  427  9.73 34- 2.98  52-38.05  20.56        28 115 23.9 0.22  0.5  0.5 B1
 10203  428 19.84 33-45.95  52-44.68  28.03        25 147 43.8 0.13  0.3  0.5 B1
 10203  429 29.87 33-37.70  52-40.92  24.55        24 166 71.5 0.14  0.5  0.9 C1
 10203  430 40.19 33-34.93  52-34.07  22.74        26 173 64.3 0.21  0.6  1.2 C1
 10203  431 49.43 34- 8.16  52-41.20  21.29        28 107 16.5 0.29  0.6  0.6 B1
